Species1,Species,Genus,DrySeedStdValue,HeightStdValue,NitrogenStdValue,PhosphorusStdValue,StemStdValue
Gompholobium preissii,Gompholobium preissii,Gompholobium,17.45949412,1.507342857,13.80509631,0.200347393,NA
Gonolobus suberosus,Gonolobus suberosus,Gonolobus,8.320769231,0.381,NA,NA,NA
Goodenia eatoniana,Goodenia eatoniana,Goodenia,1.705589578,0.483695652,16.0725,3.0575,NA
Graderia scabra,Graderia scabra,Graderia,0.27,0.185,NA,NA,NA
Grevillea pulchella,Grevillea pulchella,Grevillea,42.58856787,2.017382206,9.307610012,0.409573337,0.005073333
Gymnocladus dioicus,Gymnocladus dioicus,Gymnocladus,1793.043124,25.94036364,NA,NA,NA
Gymnopogon ambiguus,Gymnopogon ambiguus,Gymnopogon,NA,0.9,NA,NA,NA
Habenaria quinqueseta,Habenaria quinqueseta,Habenaria,0.00009,0.476540084,NA,NA,NA
Hackelia virginiana,Hackelia virginiana,Hackelia,2.562521112,0.3,25.09,NA,NA
Hackelochloa granularis,Hackelochloa granularis,Hackelochloa,1.01,1,NA,NA,NA
Haemodorum simplex,Haemodorum simplex,Haemodorum,5.12,0.55,NA,NA,NA
Haemodorum paniculatum,Haemodorum paniculatum,Haemodorum,8.161048,0.55,NA,NA,NA
Hakea undulata,Hakea undulata,Hakea,15,2.223362319,7.78,0.299958126,0.014242647
Hakea lissocarpha,Hakea lissocarpha,Hakea,23.9,2.223362319,4.38,0.250017268,0.014242647
Hakea ruscifolia,Hakea ruscifolia,Hakea,30,2.223362319,5.545,0.277443486,0.014242647
Hakea prostrata,Hakea prostrata,Hakea,34.17017873,2.223362319,5.337323803,0.238844761,0.014242647
Hakea amplexicaulis,Hakea amplexicaulis,Hakea,40.6,2.223362319,3.593333333,0.130005653,0.014242647
Hamamelis virginiana,Hamamelis virginiana,Hamamelis,86.90724669,4.547889655,10,NA,0.001716667
Hedeoma hispida,Hedeoma hispida,Hedeoma,0.198264624,0.110954545,15.5,NA,NA
Hedyotis procumbens,Hedyotis procumbens,Hedyotis,0.073333333,0.07,NA,NA,NA
Helianthemum rosmarinifolium,Helianthemum rosmarinifolium,Helianthemum,0.705157824,0.2797,20.85531775,2.20271431,NA
Helianthemum carolinianum,Helianthemum carolinianum,Helianthemum,0.705157824,0.126394028,20.85531775,2.20271431,NA
Helianthus angustifolius,Helianthus angustifolius,Helianthus,0.898608236,1.70688,23.64234721,3.730894743,0.006035714
Helianthus hirsutus,Helianthus hirsutus,Helianthus,4.44,1.164415043,17.93,3.730894743,0.006035714
Helianthus strumosus,Helianthus strumosus,Helianthus,5.27,1.164415043,23.64234721,3.730894743,0.006035714
Helianthus radula,Helianthus radula,Helianthus,12.62165164,1.164415043,23.64234721,3.730894743,0.006035714
Helichrysum nudifolium,Helichrysum nudifolium,Helichrysum,0.12,1.590124118,14.976,2.016,NA
Helichrysum miconiifolium,Helichrysum miconiifolium,Helichrysum,0.18905174,1.590124118,14.976,2.016,NA
Helichrysum,Helichrysum,Helichrysum,0.499615385,0.5,14.976,2.016,NA
Heliomeris multiflora,Heliomeris multiflora,Heliomeris,0.436,0.3995,26.418,1.01,NA
Heliotropium strigosum,Heliotropium strigosum,Heliotropium,1.883565833,0.25,29.4,NA,NA
Heliotropium steudneri,Heliotropium steudneri,Heliotropium,1.883565833,0.75,29.4,NA,NA
Hemigenia incana,Hemigenia incana,Hemigenia,0.84536,0.385724138,NA,NA,0.002315
Hemigenia rigida,Hemigenia rigida,Hemigenia,0.84536,0.385724138,NA,NA,0.002315
Hermannia,Hermannia,Hermannia,0.96,0.2,NA,NA,NA
Hesperidanthus linearifolius,Hesperidanthus linearifolius,Hesperidanthus,0.17,NA,NA,NA,NA
Heteropogon contortus,Heteropogon contortus,Heteropogon,2.071171508,0.501065455,13.2741578,1.018585065,NA
Heteropogon melanocarpus,Heteropogon melanocarpus,Heteropogon,5.349581564,2.5,10.56806294,1.018585065,NA
Heterotheca villosa,Heterotheca villosa,Heterotheca,0.813501956,0.873371429,17.45,NA,NA
Hibbertia diamesogenos,Hibbertia diamesogenos,Hibbertia,7.556979343,0.5995,10.92229696,0.36537372,NA
Hibbertia amplexicaulis,Hibbertia amplexicaulis,Hibbertia,7.556979343,0.5995,10.92229696,0.36537372,NA
Hibbertia commutata,Hibbertia commutata,Hibbertia,7.556979343,0.5995,10.92229696,0.36537372,NA
Hibbertia racemosa,Hibbertia racemosa,Hibbertia,7.556979343,0.5995,10.92229696,0.36537372,NA
Hibbertia hibbertioides,Hibbertia hibbertioides,Hibbertia,7.556979343,0.5995,10.92229696,0.36537372,NA
Hibbertia quadricolor,Hibbertia quadricolor,Hibbertia,7.556979343,0.5995,10.92229696,0.36537372,NA
Hibbertia acerosa,Hibbertia acerosa,Hibbertia,7.556979343,0.5995,10.92229696,0.36537372,NA
Hibiscus micranthus,Hibiscus micranthus,Hibiscus,3.67,3.5,22.67627451,3.404551374,NA
Hibiscus asper,Hibiscus asper,Hibiscus,12.14,2.61182624,22.67627451,3.404551374,NA
Hibiscus pusillus,Hibiscus pusillus,Hibiscus,15.95962838,0.175,22.67627451,3.404551374,NA
Hibiscus,Hibiscus,Hibiscus,15.95962838,15,22.67627451,3.404551374,NA
Hibiscus aculeatus,Hibiscus aculeatus,Hibiscus,59.59191457,0.9144,22.67627451,3.404551374,NA
Hieracium gronovii,Hieracium gronovii,Hieracium,0.175,1.2,21.4631801,1.801049711,NA
Hieracium fendleri,Hieracium fendleri,Hieracium,0.488,0.0444,21.51,1.333333333,NA
Hilliardiella aristata,Hilliardiella aristata,Hilliardiella,0.43,0.7,NA,NA,NA
Hoffmannseggia trifoliata,Hoffmannseggia trifoliata,Hoffmannseggia,11.07115789,0.3,NA,NA,NA
Hordeum pusillum,Hordeum pusillum,Hordeum,4.539290929,0.38288,26.18,2.429923393,NA
Hoslundia opposita,Hoslundia opposita,Hoslundia,2.06,NA,NA,NA,NA
Houstonia procumbens,Houstonia procumbens,Houstonia,0.126717949,0.085638889,14.842,1.316666667,NA
Houstonia pusilla,Houstonia pusilla,Houstonia,0.126717949,0.085638889,14.842,1.316666667,NA
Houstonia wrightii,Houstonia wrightii,Houstonia,0.439,0.03065,14.842,1.316666667,NA
Hovea elliptica,Hovea elliptica,Hovea,14.2,1.3,NA,NA,NA
Hovea trisperma,Hovea trisperma,Hovea,22.98833333,1.3,NA,NA,NA
Hovea chorizemifolia,Hovea chorizemifolia,Hovea,25.50617345,1.3,NA,NA,NA
Hybanthus enneaspermus,Hybanthus enneaspermus,Hybanthus,1.4675,0.866666667,24.63971273,NA,0.114173913
Hydrophyllum virginianum,Hydrophyllum virginianum,Hydrophyllum,8.1,0.157692308,25.15,1.35,NA
Hymenopappus mexicanus,Hymenopappus mexicanus,Hymenopappus,1.053,0.1965,15.646,0.716666667,NA
Hymenopappus scabiosaeus,Hymenopappus scabiosaeus,Hymenopappus,1.36,0.1965,15.646,0.716666667,NA
Hymenoxys bigelovii,Hymenoxys bigelovii,Hymenoxys,1.037,0.191831522,17.21875,1.855714286,NA
Hyparrhenia hirta,Hyparrhenia hirta,Hyparrhenia,0.725,0.490384615,14.1925,0.575,NA
Hyparrhenia diplandra,Hyparrhenia diplandra,Hyparrhenia,1.915454545,3,11.58724597,0.575,NA
Hyparrhenia cyanescens,Hyparrhenia cyanescens,Hyparrhenia,1.915454545,1.882935897,11.58724597,0.575,NA
Hyparrhenia subplumosa,Hyparrhenia subplumosa,Hyparrhenia,4.59,3,11.58724597,0.575,NA
Hypericum gentianoides,Hypericum gentianoides,Hypericum,0.04,0.4548,23.18905309,2.49,0.002719167
Hypericum punctatum,Hypericum punctatum,Hypericum,0.04,0.9144,23.18905309,2.49,0.002719167
Hypericum hypericoides,Hypericum hypericoides,Hypericum,0.14,0.475701827,23.18905309,2.49,0.002719167
Hypericum,Hypericum,Hypericum,0.20460616,0.475701827,23.18905309,2.49,0.002719167
Hypericum crux-andreae,Hypericum crux-andreae,Hypericum,0.20460616,0.475701827,23.18905309,2.49,0.002719167
Hypericum suffruticosum,Hypericum suffruticosum,Hypericum,0.20460616,0.475701827,23.18905309,2.49,0.002719167
Hypericum mutilum,Hypericum mutilum,Hypericum,0.251610306,0.67056,23.18905309,2.49,0.002719167
Hypocalymma angustifolium,Hypocalymma angustifolium,Hypocalymma,0.41,1.5,NA,NA,NA
Hypolaena exsulca,Hypolaena exsulca,Hypolaena,5.46,0.15,5.5,0.127996685,NA
Hypoxis rigidula,Hypoxis rigidula,Hypoxis,0.978914912,0.875,16.4,NA,NA
Hypoxis argentea,Hypoxis argentea,Hypoxis,0.978914912,0.263855419,16.4,NA,NA
Hypoxis wrightii,Hypoxis wrightii,Hypoxis,0.978914912,0.263855419,16.4,NA,NA
Hypoxis sessilis,Hypoxis sessilis,Hypoxis,0.978914912,0.263855419,16.4,NA,NA
Hypoxis colchicifolia,Hypoxis colchicifolia,Hypoxis,1.64,0.263855419,16.4,NA,NA
Hypoxis hemerocallidea,Hypoxis hemerocallidea,Hypoxis,1.73,0.4,16.4,NA,NA
Hyptis spicigera,Hyptis spicigera,Hyptis,0.4125,0.161666667,17.32125,0.996,NA
Hystrix patula,Hystrix patula,Hystrix,4.292428571,1,12.6,2.6,NA
Ilex decidua,Ilex decidua,Ilex,8.054285714,5.264234146,16.20268409,1.239444149,0.11255361
Ilex glabra,Ilex glabra,Ilex,14.68563197,1.103054545,16.20268409,1.239444149,0.11255361
Ilex vomitoria,Ilex vomitoria,Ilex,16.53084919,3.246336842,19.42,1.239444149,0.091967684
Ilex opaca,Ilex opaca,Ilex,17.07423576,7.997562791,10.99479,0.7,0.11255361
Ilex myrtifolia,Ilex myrtifolia,Ilex,17.07906262,7.319456907,16.20268409,1.239444149,0.11255361
Impatiens pallida,Impatiens pallida,Impatiens,0.64699793,2.49936,13,2.7,NA
Impatiens capensis,Impatiens capensis,Impatiens,6.457499007,0.779703729,20.72602286,2.9,NA
Indigastrum parviflorum,Indigastrum parviflorum,Indigastrum,1.165,0.5,NA,NA,NA
Indigofera colutea,Indigofera colutea,Indigofera,0.968666667,0.2,29.8835171,3.053115727,NA
Indigofera leprieurii,Indigofera leprieurii,Indigofera,3.14,1.0748,29.8835171,3.053115727,NA
Indigofera,Indigofera,Indigofera,3.339899098,1.0748,31.9375,3.053115727,NA
Indigofera hilaris,Indigofera hilaris,Indigofera,3.339899098,1.0748,29.8835171,3.053115727,NA
Indigofera vicioides,Indigofera vicioides,Indigofera,3.339899098,1.0748,29.8835171,3.053115727,NA
Indigofera rhytidocarpa,Indigofera rhytidocarpa,Indigofera,3.339899098,1.0748,29.8835171,3.053115727,NA
Ionactis linariifolia,Ionactis linariifolia,Ionactis,1.42,0.508,NA,NA,NA
Ipomoea pandurata,Ipomoea pandurata,Ipomoea,28.81980565,0.44,34.81238095,2.90125,NA
Ipomoea crassipes,Ipomoea crassipes,Ipomoea,30.55,1.426066667,34.81238095,2.90125,NA
Ipomoea rubriflora,Ipomoea rubriflora,Ipomoea,47.71741678,1.426066667,34.81238095,2.90125,NA
Ipomoea plummerae,Ipomoea plummerae,Ipomoea,47.71741678,1.426066667,34.81238095,2.90125,NA
Ipomoea plebeia,Ipomoea plebeia,Ipomoea,47.71741678,1.426066667,34.81238095,2.90125,NA
Ipomoea,Ipomoea,Ipomoea,47.71741678,1.426066667,34.81238095,2.90125,NA
Iris missouriensis,Iris missouriensis,Iris,16.85714381,0.373415385,28.59666667,1.106666667,NA
Iris,Iris,Iris,28.91603068,0.458661132,9.1,2.155,NA
Isopogon sphaerocephalus,Isopogon sphaerocephalus,Isopogon,3.929639705,1.5,NA,NA,NA
Isotoma hypocrateriformis,Isotoma hypocrateriformis,Isotoma,0.0293,0.05,NA,NA,NA
Jacquemontia tamnifolia,Jacquemontia tamnifolia,Jacquemontia,4.285,0.0762,37.21,NA,NA
Jatropha,Jatropha,Jatropha,217.8855,1.417826087,32.2520413,NA,NA
Johnsonia lupulina,Johnsonia lupulina,Johnsonia,NA,0.8,NA,NA,NA
Juncus,Juncus,Juncus,0.07,1.08125,19.65616099,1.810641288,NA
Justicia protracta,Justicia protracta,Justicia,21.39255983,1.5149,31.75259646,2.95,NA
Justicia flava,Justicia flava,Justicia,21.39255983,1.5149,31.75259646,2.95,NA
Kalanchoe rotundifolia,Kalanchoe rotundifolia,Kalanchoe,0.02,1.1,NA,NA,NA
Kalanchoe crenata,Kalanchoe crenata,Kalanchoe,0.04,0.833333333,NA,NA,NA
Kalmia angustifolia,Kalmia angustifolia,Kalmia,0.006166667,21.71785714,11.678286,0.705318796,NA
Kalmia latifolia,Kalmia latifolia,Kalmia,0.020117927,4.475085714,11.5,0.6,NA
Kennedia prostrata,Kennedia prostrata,Kennedia,14.86110176,0.5,NA,NA,NA
Kennedia microphylla,Kennedia microphylla,Kennedia,22.44224189,0.5,NA,NA,NA
Kennedia coccinea,Kennedia coccinea,Kennedia,26.31,0.5,NA,NA,NA
Koeleria pyramidata,Koeleria pyramidata,Koeleria,3.201730247,0.396090909,20.783125,1.67,NA
Koeleria macrantha,Koeleria macrantha,Koeleria,4.126704638,0.185189091,18.9822165,1.163559823,NA
Kohautia tenuis,Kohautia tenuis,Kohautia,0.03,0.353181818,NA,NA,NA
Kohautia amatymbica,Kohautia amatymbica,Kohautia,0.08,0.353181818,NA,NA,NA
Kummerowia stipulacea,Kummerowia stipulacea,Kummerowia,1.890082833,0.18288,30.75,3.013983378,NA
Kyphocarpa angustifolia,Kyphocarpa angustifolia,Kyphocarpa,6.61,0.34,NA,NA,NA
Labichea punctata,Labichea punctata,Labichea,53.7088,0.2,11.96,0.615,NA
Lachnocaulon anceps,Lachnocaulon anceps,Lachnocaulon,15.33,0.4064,NA,NA,NA
Lactuca canadensis,Lactuca canadensis,Lactuca,0.930720862,1.344,22.23,2.300476429,0.00686
Lactuca graminifolia,Lactuca graminifolia,Lactuca,0.930720862,0.849466667,24.00217728,2.300476429,0.00686
Lactuca floridana,Lactuca floridana,Lactuca,1.505714286,0.2,24.00217728,2.300476429,0.00686
Laennecia schiedeana,Laennecia schiedeana,Laennecia,0.084,0.182857143,21.54666667,1.123333333,NA
Lantana rugosa,Lantana rugosa,Lantana,6.9,2.88,25.39166667,2.78,NA
Lantana ukambensis,Lantana ukambensis,Lantana,8.4,2.88,25.39166667,2.78,NA
Larrea divaricata,Larrea divaricata,Larrea,2.4,2.0312,15.93333333,NA,NA
Lechea minor,Lechea minor,Lechea,0.1651875,0.35,NA,NA,NA
Lechea pulchella,Lechea pulchella,Lechea,0.1651875,0.35,NA,NA,NA
Lechea tenuifolia,Lechea tenuifolia,Lechea,0.171,0.3,NA,NA,NA
Lechenaultia biloba,Lechenaultia biloba,Lechenaultia,24.065,0.3,NA,NA,NA
Lechenaultia formosa,Lechenaultia formosa,Lechenaultia,24.065,0.3,NA,NA,NA
Ledebouria revoluta,Ledebouria revoluta,Ledebouria,0.16,0.254,NA,NA,NA
Ledebouria ovatifolia,Ledebouria ovatifolia,Ledebouria,0.16,0.254,NA,NA,NA
Ledebouria,Ledebouria,Ledebouria,0.16,0.254,NA,NA,NA
Ledum palustre,Ledum palustre,Ledum,0.015038462,0.8204,14.15393443,1.236712827,NA
Leonotis ocymifolia,Leonotis ocymifolia,Leonotis,2.06,1.8,NA,NA,NA
Leonotis,Leonotis,Leonotis,2.205365854,1.8,NA,NA,NA
Lepidagathis anobrya,Lepidagathis anobrya,Lepidagathis,3.6,1,NA,NA,NA
Lepidium densiflorum,Lepidium densiflorum,Lepidium,0.581235294,0.249054054,35.39987718,2.906666667,NA
Lepidosperma leptostachyum,Lepidosperma leptostachyum,Lepidosperma,5.501458333,0.87,5.848219752,0.2223455,NA
Lepidosperma squamatum,Lepidosperma squamatum,Lepidosperma,5.501458333,0.87,5.848219752,0.2223455,NA
Leptomeria cunninghamii,Leptomeria cunninghamii,Leptomeria,6.2,1.8,NA,NA,NA
Lespedeza juncea,Lespedeza juncea,Lespedeza,1.658571429,0.866666667,26.92828816,1.166021911,0.002233333
Lespedeza cuneata,Lespedeza cuneata,Lespedeza,1.669090909,0.798666667,18.56,1.753275094,0.002233333
Lespedeza virginica,Lespedeza virginica,Lespedeza,1.91,0.4,26.5278571,1.753275094,0.002233333
Lespedeza violacea,Lespedeza violacea,Lespedeza,2.48,0.862948285,24.95,1.753275094,0.002233333
Lespedeza capitata,Lespedeza capitata,Lespedeza,2.740799859,0.956755152,23.27127885,1.4,0.002233333
Lespedeza hirta,Lespedeza hirta,Lespedeza,3.164899172,1.142933333,26.5278571,1.753275094,0.002233333
Lespedeza stuevei,Lespedeza stuevei,Lespedeza,3.482613739,0.862948285,17.85,1.753275094,0.002233333
Lespedeza procumbens,Lespedeza procumbens,Lespedeza,3.482613739,0.862948285,26.5278571,1.753275094,0.002233333
Lespedeza repens,Lespedeza repens,Lespedeza,3.482613739,0.862948285,26.5278571,1.753275094,0.002233333
Lespedeza angustifolia,Lespedeza angustifolia,Lespedeza,3.482613739,0.862948285,26.5278571,1.753275094,0.002233333
Leucas glabrata,Leucas glabrata,Leucas,1.013417722,0.6,NA,NA,NA
Leucopogon verticillatus,Leucopogon verticillatus,Leucopogon,8.4,0.975290909,9.648976429,0.347142857,NA
Leucopogon australis,Leucopogon australis,Leucopogon,8.63,0.975290909,9.648976429,0.347142857,NA
Leucopogon capitellatus,Leucopogon capitellatus,Leucopogon,11.263264,0.975290909,9.648976429,0.347142857,NA
Leucopogon propinquus,Leucopogon propinquus,Leucopogon,11.263264,0.975290909,9.648976429,0.347142857,NA
Levenhookia pusilla,Levenhookia pusilla,Levenhookia,0.04,0.06,NA,NA,NA
Liatris,Liatris,Liatris,1.07,0.75,35.79826,1.333333333,NA
Liatris squarrosa,Liatris squarrosa,Liatris,2.036166667,0.4548,22.06384,1.333333333,NA
Liatris tenuifolia,Liatris tenuifolia,Liatris,2.608037828,0.648794872,15.19155497,1.333333333,NA
Liatris graminifolia,Liatris graminifolia,Liatris,2.608037828,0.648794872,15.19155497,1.333333333,NA
Liatris elegans,Liatris elegans,Liatris,2.608037828,0.648794872,15.19155497,1.333333333,NA
Liatris punctata,Liatris punctata,Liatris,13.73876288,0.6096,15.56446216,1.333333333,NA
Licania michauxii,Licania michauxii,Licania,6776.235677,0.22,16.53119582,0.491080027,0.224460223
Limeum pterocarpum,Limeum pterocarpum,Limeum,3.89,0.6,NA,NA,NA
Linaria dalmatica,Linaria dalmatica,Linaria,0.14,0.607,18.84239423,1.6875,0.002553429
Lindsaea linearis,Lindsaea linearis,Lindsaea,NA,0.45,26.776,0.462,NA
Linum sulcatum,Linum sulcatum,Linum,0.46258,0.458,23.055,1.789202628,NA
Linum australe,Linum australe,Linum,0.945625,0.2285,14.41,1.216666667,NA
Linum medium,Linum medium,Linum,1.394029378,0.328,21.98653866,1.789202628,NA
Linum floridanum,Linum floridanum,Linum,1.394029378,0.31215314,21.98653866,1.789202628,NA
Linum thunbergii,Linum thunbergii,Linum,1.394029378,0.31215314,21.98653866,1.789202628,NA
Liquidambar styraciflua,Liquidambar styraciflua,Liquidambar,5.34329171,15.2010087,14.40423323,1.5585,0.14
Lithospermum multiflorum,Lithospermum multiflorum,Lithospermum,5.199,0.320909091,20.23666667,1.2,NA
Lithospermum caroliniense,Lithospermum caroliniense,Lithospermum,5.657,0.617222222,18.34928571,1.175,NA
Lithospermum incisum,Lithospermum incisum,Lithospermum,10.99115932,0.262,19.06,1.244444444,NA
Lobelia puberula,Lobelia puberula,Lobelia,0.064260613,0.312537047,23.96627703,3.623009411,0.0013
Lobelia spicata,Lobelia spicata,Lobelia,0.12,0.276333333,23.96627703,3.623009411,0.0013
Lomandra hermaphrodita,Lomandra hermaphrodita,Lomandra,11.10423,0.420555556,NA,NA,NA
Lomandra integra,Lomandra integra,Lomandra,11.10423,0.420555556,NA,NA,NA
Lomandra sericea,Lomandra sericea,Lomandra,11.10423,0.420555556,NA,NA,NA
Lomandra caespitosa,Lomandra caespitosa,Lomandra,11.10423,0.420555556,NA,NA,NA
Lomandra sonderi,Lomandra sonderi,Lomandra,11.10423,0.420555556,NA,NA,NA
Lomandra drummondii,Lomandra drummondii,Lomandra,11.10423,0.420555556,NA,NA,NA
Lomandra spartea,Lomandra spartea,Lomandra,11.10423,0.420555556,NA,NA,NA
Lonicera japonica,Lonicera japonica,Lonicera,2.667139899,2.7286,19.1,2.46,0.01816157
Lonicera prolifera,Lonicera prolifera,Lonicera,12.95049502,2.288540669,19.76015985,2.340118825,0.01816157
Lotononis calycina,Lotononis calycina,Lotononis,1.2476,0.1825,24,NA,NA
Loudetia togoensis,Loudetia togoensis,Loudetia,3.27,0.9,8.473667145,NA,NA
Loxocarya cinerea,Loxocarya cinerea,Loxocarya,7.11,2.5,NA,NA,NA
Lupinus kingii,Lupinus kingii,Lupinus,7.433,0.0614,30.68666667,1.333333333,0.0041
Lupinus argenteus,Lupinus argenteus,Lupinus,17.36044329,0.40106087,46.28,3.273333333,0.0041
Luzula meridionalis,Luzula meridionalis,Luzula,0.53,0.20589024,19.21586878,2.026433678,0.0022475
Lycium chilense,Lycium chilense,Lycium,9.882771566,0.84,31.3,2.565308519,NA
Lycopodium complanatum,Lycopodium complanatum,Lycopodium,NA,0.570510345,7.034357143,0.763333333,0.0019
Lycopodium,Lycopodium,Lycopodium,NA,0.35,8.82843804,0.868771133,0.0019
Lygodesmia aphylla,Lygodesmia aphylla,Lygodesmia,5.69,0.9144,NA,NA,NA
Lygodium japonicum,Lygodium japonicum,Lygodium,NA,4.57,35.05,1.838605,NA
Lyonia lucida,Lyonia lucida,Lyonia,0.1,1.719115,8.317948846,0.420191495,0.050111111
Lyonia fruticosa,Lyonia fruticosa,Lyonia,0.1,0.86,10.65895208,0.669323346,0.050111111
Lyonia,Lyonia,Lyonia,0.1,1.970964571,10.65895208,0.669323346,0.050111111
Lyonia mariana,Lyonia mariana,Lyonia,0.12,1.970964571,10.65895208,0.669323346,0.050111111
Macrozamia riedlei,Macrozamia riedlei,Macrozamia,7473.87,2.4,17.295,0.61448789,NA
Magnolia grandiflora,Magnolia grandiflora,Magnolia,73.6732443,9.303888509,18.81,1.024916551,0.252911131
Maianthemum bifolium,Maianthemum bifolium,Maianthemum,15.33553333,0.146666667,32.575,3.166666667,0.00112
Maianthemum racemosum,Maianthemum racemosum,Maianthemum,30.87928571,0.097622807,22.304,1.8625,0.00112
Malaxis macrostachya,Malaxis macrostachya,Malaxis,NA,0.1628125,NA,NA,NA
Malus angustifolia,Malus angustifolia,Malus,43.25257179,8.397326733,20.46036272,1.695433544,0.233
Malva neglecta,Malva neglecta,Malva,2.235125,0.318947368,39.1,2.38,NA
Manfreda virginica,Manfreda virginica,Manfreda,3.125,0.657894737,NA,NA,NA
Margyricarpus pinnatus,Margyricarpus pinnatus,Margyricarpus,6.05,30,NA,NA,NA
Matelea,Matelea,Matelea,4.8468,182.88,NA,NA,NA
Medicago lupulina,Medicago lupulina,Medicago,1.505019091,0.215209202,35.70901838,1.528463468,0.0016275
Melaleuca thymoides,Melaleuca thymoides,Melaleuca,0.312805653,9.457142857,11.00283612,0.620666349,NA
Melica bonariensis,Melica bonariensis,Melica,1.556353387,0.339285838,23.64513405,1.88,NA
Melinis nerviglumis,Melinis nerviglumis,Melinis,0.33325,0.783,20.8816,2.4375,NA
Melothria pendula,Melothria pendula,Melothria,4,3,NA,NA,NA
Menispermum canadense,Menispermum canadense,Menispermum,74.00664132,0.555,NA,NA,NA
Merremia palmata,Merremia palmata,Merremia,58.7821978,6,NA,NA,NA
Microchloa caffra,Microchloa caffra,Microchloa,0.08,0.7,26.8,NA,NA
Microchloa indica,Microchloa indica,Microchloa,0.08,0.5,26.8,NA,NA
Microstegium vimineum,Microstegium vimineum,Microstegium,0.06,0.1712,9.384146438,NA,NA
Mimosa quadrivalvis,Mimosa quadrivalvis,Mimosa,17.83369537,1.271962316,19.48267559,0.682222222,NA
Minuartia patula,Minuartia patula,Minuartia,219.8543615,0.070368112,21.82833154,2.25,NA
Mirabilis linearis,Mirabilis linearis,Mirabilis,6.67,0.586863158,32.41,2.42,NA
Mitchella repens,Mitchella repens,Mitchella,3.430639231,0.056315789,13.8,1.4,0.001016667
Moehringia lateriflora,Moehringia lateriflora,Moehringia,0.461833333,0.151470588,17.757122,NA,NA
Monarda fistulosa,Monarda fistulosa,Monarda,0.336233881,0.929957398,18.36774402,1.5,0.004166667
Monarda bradburiana,Monarda bradburiana,Monarda,1.265606195,0.60418228,18.22552994,1.95,0.003388602
Monarda russeliana,Monarda russeliana,Monarda,1.265606195,0.60418228,18.22552994,1.95,0.003388602
Monechma ciliatum,Monechma ciliatum,Monechma,1.86,1.1,NA,NA,NA
Monechma debile,Monechma debile,Monechma,2.72,1.1,NA,NA,NA
Monotropa uniflora,Monotropa uniflora,Monotropa,0.002475,0.18047619,19.7,3,NA
Morus rubra,Morus rubra,Morus,14.17590141,8.907194326,18.95,2.9,NA
Muhlenbergia ramulosa,Muhlenbergia ramulosa,Muhlenbergia,0.099,0.076,15.39666667,0.71,NA
Muhlenbergia wrightii,Muhlenbergia wrightii,Muhlenbergia,0.213501086,0.360457143,16.974,2.176,NA
Muhlenbergia sobolifera,Muhlenbergia sobolifera,Muhlenbergia,0.225005863,0.368473143,16.83767273,1.870526316,NA
Muhlenbergia,Muhlenbergia,Muhlenbergia,0.225005863,0.368473143,16.83767273,1.870526316,NA
Muhlenbergia cuspidata,Muhlenbergia cuspidata,Muhlenbergia,0.259483092,0.42672,10.49,1.870526316,NA
Muhlenbergia montana,Muhlenbergia montana,Muhlenbergia,0.318822061,0.391295238,11.802,1.195,NA
Muhlenbergia capillaris,Muhlenbergia capillaris,Muhlenbergia,0.323498965,0.9144,16.83767273,1.870526316,NA
Murdannia nudiflora,Murdannia nudiflora,Murdannia,2.81725,0.381,NA,NA,NA
Myrica pensylvanica,Myrica pensylvanica,Myrica,19.78076073,3.048,19.25388267,0.877576793,NA
Myrica cerifera,Myrica cerifera,Myrica,23.23281328,3.506395789,19.25388267,0.877576793,NA
Nama dichotoma,Nama dichotoma,Nama,0.309173795,0.0925,43.88666667,1.223333333,NA
Nassella tenuissima,Nassella tenuissima,Nassella,0.526666667,0.544501225,24.508,2.4,NA
Nassella tenuis,Nassella tenuis,Nassella,4.12748621,0.544501225,24.508,2.4,NA
Nassella clarazii,Nassella clarazii,Nassella,8.475,0.544501225,35.04,2.4,NA
Neurachne alopecuroidea,Neurachne alopecuroidea,Neurachne,2.13,0.283,NA,NA,NA
Nierembergia aristata,Nierembergia aristata,Nierembergia,0.16,0.6,NA,NA,NA
Nyssa sylvatica,Nyssa sylvatica,Nyssa,188.0989881,25.81949091,16.51333333,1.24,0.195787842
Ocimum americanum,Ocimum americanum,Ocimum,0.773684211,0.4,24.6,NA,NA
Ocimum obovatum,Ocimum obovatum,Ocimum,1.91,0.4,24.6,NA,NA
Oenothera speciosa,Oenothera speciosa,Oenothera,0.09,0.691256139,20.8825,1.035,0.005666667
Oenothera laciniata,Oenothera laciniata,Oenothera,0.4025,0.691256139,28.78,1.035,0.005666667
Olax benthamiana,Olax benthamiana,Olax,598.1033333,5.83,NA,NA,NA
Oldenlandia corymbosa,Oldenlandia corymbosa,Oldenlandia,0.119714142,0.16,NA,NA,NA
Olearia elaeophila,Olearia elaeophila,Olearia,0.760165763,1.453846154,19.79089363,1.367634878,NA
Onosmodium virginianum,Onosmodium virginianum,Onosmodium,15.0166137,0.611145455,22.34,NA,NA
Opercularia hispidula,Opercularia hispidula,Opercularia,0.47,0.3,12.89,0.6625,NA
Ophiuros exaltatus,Ophiuros exaltatus,Ophiuros,NA,3.5,NA,NA,NA
Oplismenus hirtellus,Oplismenus hirtellus,Oplismenus,1.0437,0.149666667,25.8,6.7,NA
